id,campaign_type,channel,topic,total_count,subject_length,subject_with_personalization,subject_with_deadline,subject_with_emoji,subject_with_bonuses,subject_with_discount,subject_with_saleout
446,bulk,email,sale out,41456.0,108.0,False,False,True,False,False,False
451,bulk,email,sale out,4.0,108.0,False,False,True,False,False,False
510,bulk,email,sale out,252294.0,115.0,False,False,True,False,False,False
693,bulk,email,sale out,122752.0,126.0,False,False,True,False,False,True
764,bulk,email,sale out,303852.0,116.0,False,False,True,False,False,False
817,bulk,email,sale out,261119.0,116.0,False,False,True,False,False,False
849,bulk,email,sale out,1139543.0,120.0,False,False,True,False,False,False
928,bulk,mobile_push,sale out,18831.0,28.0,False,False,True,False,True,False
1102,bulk,email,sale out,1.0,126.0,True,False,True,False,True,False
1331,bulk,email,sale out,5.0,126.0,True,False,True,False,True,False
1487,bulk,mobile_push,offer after purchase,456.0,92.0,False,False,True,False,False,False
1516,bulk,email,sale out,5.0,112.0,False,False,True,False,False,False
1523,bulk,mobile_push,sale out,147826.0,104.0,False,False,True,False,False,True
1530,bulk,email,sale out,4.0,140.0,False,False,True,False,False,True
2012,bulk,mobile_push,offer after purchase,356.0,92.0,False,False,True,False,False,False
2066,bulk,mobile_push,sale out,133001.0,106.0,False,False,True,False,False,False
2246,bulk,email,sale out,28759.0,141.0,False,False,True,False,False,False
2298,bulk,email,sale out,869167.0,100.0,False,False,True,False,False,False
2306,bulk,mobile_push,offer after purchase,861.0,92.0,False,False,True,False,False,False
2345,bulk,mobile_push,offer after purchase,162800.0,92.0,False,False,True,False,False,False
2399,bulk,mobile_push,happy birthday,1135.0,96.0,False,False,True,True,False,False
2419,bulk,mobile_push,offer after purchase,1009.0,92.0,False,False,True,False,False,False
2448,bulk,mobile_push,happy birthday,1115.0,96.0,False,False,True,True,False,False
2500,bulk,mobile_push,offer after purchase,984.0,92.0,False,False,True,False,False,False
2575,bulk,email,sale out,3305534.0,106.0,False,False,True,False,False,False
2664,bulk,mobile_push,happy birthday,1336.0,96.0,False,False,True,True,False,False
2671,bulk,mobile_push,offer after purchase,536.0,92.0,False,False,True,False,False,False
