id,campaign_type,channel,topic,total_count,subject_length,subject_with_personalization,subject_with_deadline,subject_with_emoji,subject_with_bonuses,subject_with_discount,subject_with_saleout
63,bulk,mobile_push,sale out,48211.0,146.0,False,False,True,False,False,False
64,bulk,mobile_push,sale out,1037337.0,97.0,False,False,True,False,False,False
78,bulk,mobile_push,sale out,70080.0,146.0,False,False,True,False,False,False
79,bulk,mobile_push,sale out,921838.0,97.0,False,False,True,False,False,False
89,bulk,mobile_push,sale out,45503.0,109.0,False,True,True,False,False,False
110,bulk,mobile_push,sale out,90816.0,146.0,False,False,True,False,False,False
111,bulk,mobile_push,sale out,1045217.0,97.0,False,False,True,False,False,False
129,bulk,email,sale out,3.0,133.0,False,False,True,False,False,False
136,bulk,email,sale out,177363.0,133.0,False,False,True,False,False,False
138,bulk,mobile_push,sale out,37889.0,146.0,False,False,True,False,False,False
139,bulk,mobile_push,sale out,72739.0,97.0,False,False,True,False,False,False
143,bulk,email,sale out,283063.0,112.0,False,False,True,False,False,False
149,bulk,mobile_push,sale out,47675.0,112.0,False,False,True,False,False,False
150,bulk,email,sale out,781354.0,133.0,False,False,True,False,False,False
152,bulk,email,sale out,274633.0,109.0,False,False,True,False,False,False
171,bulk,mobile_push,sale out,154495.0,84.0,False,False,True,False,False,False
174,bulk,mobile_push,sale out,86749.0,84.0,False,False,True,False,False,False
196,bulk,email,event,6373.0,185.0,True,False,True,False,True,False
217,bulk,mobile_push,event,1674.0,96.0,False,False,True,False,False,False
219,bulk,mobile_push,sale out,26418.0,117.0,False,False,True,False,False,False
230,bulk,email,sale out,651859.0,115.0,False,False,True,False,False,False
231,bulk,mobile_push,sale out,93204.0,32.0,False,False,True,False,False,False
257,bulk,mobile_push,sale out,147911.0,164.0,False,False,True,False,False,False
258,bulk,mobile_push,sale out,146355.0,164.0,False,False,True,False,False,False
289,bulk,email,sale out,60332.0,93.0,False,False,True,False,False,False
296,bulk,email,sale out,231972.0,129.0,False,False,True,False,False,True
297,bulk,email,sale out,135106.0,109.0,False,False,True,False,False,False
298,bulk,mobile_push,sale out,67174.0,38.0,False,False,True,False,False,False
308,bulk,mobile_push,sale out,43152.0,34.0,False,False,True,False,False,False
321,bulk,email,sale out,2.0,93.0,False,False,True,False,False,False
337,bulk,email,event,6582.0,106.0,False,False,True,False,False,False
354,bulk,email,sale out,50565.0,117.0,False,False,True,False,False,False
355,bulk,mobile_push,event,1815.0,96.0,False,False,True,False,False,False
361,bulk,email,sale out,59475.0,87.0,False,True,True,False,False,False
366,bulk,email,sale out,160689.0,85.0,False,False,True,False,False,False
368,bulk,mobile_push,sale out,16027.0,117.0,False,False,True,False,False,False
372,bulk,mobile_push,sale out,24425.0,119.0,False,False,True,False,True,False
373,bulk,mobile_push,sale out,2532.0,111.0,False,False,True,False,False,False
374,bulk,email,sale out,3.0,85.0,False,False,True,False,False,False
375,bulk,email,sale out,4.0,85.0,False,False,True,False,False,False
376,bulk,email,sale out,1.0,85.0,False,False,True,False,False,False
381,bulk,email,sale out,3.0,85.0,False,False,True,False,False,False
400,bulk,email,sale out,4.0,18.0,False,False,False,False,False,False
409,bulk,mobile_push,sale out,7243.0,105.0,False,False,True,False,False,False
412,bulk,email,sale out,208042.0,91.0,True,False,True,False,True,False
413,bulk,mobile_push,sale out,39569.0,131.0,False,False,True,False,False,False
431,bulk,email,event,6559.0,102.0,False,False,True,False,False,False
446,bulk,email,sale out,41456.0,108.0,False,False,True,False,False,False
451,bulk,email,sale out,4.0,108.0,False,False,True,False,False,False
453,bulk,mobile_push,event,1848.0,96.0,False,False,True,False,False,False
455,bulk,mobile_push,sale out,16291.0,111.0,False,False,True,False,False,False
461,bulk,email,sale out,217109.0,136.0,False,False,True,False,False,False
478,bulk,mobile_push,sale out,43968.0,37.0,False,False,True,False,False,False
494,bulk,email,sale out,50363.0,94.0,False,False,True,False,False,False
500,bulk,email,sale out,607634.0,102.0,False,False,True,False,False,True
509,bulk,mobile_push,sale out,62734.0,94.0,False,False,True,False,False,False
510,bulk,email,sale out,252294.0,115.0,False,False,True,False,False,False
514,bulk,email,sale out,114167.0,130.0,False,False,True,False,False,False
515,bulk,mobile_push,sale out,613004.0,126.0,False,False,True,False,False,False
522,bulk,mobile_push,sale out,6607.0,106.0,False,False,True,False,False,True
536,bulk,email,sale out,123279.0,120.0,False,False,True,False,True,False
539,bulk,mobile_push,sale out,253565.0,23.0,False,False,True,False,False,False
540,bulk,mobile_push,sale out,305573.0,23.0,False,False,True,False,False,False
547,bulk,email,sale out,135002.0,98.0,False,False,True,False,False,False
548,bulk,email,event,6530.0,107.0,False,False,True,False,False,False
560,bulk,mobile_push,sale out,412288.0,110.0,False,False,True,False,False,False
563,bulk,email,sale out,92798.0,100.0,False,False,True,False,False,False
567,bulk,mobile_push,event,1772.0,96.0,False,False,True,False,False,False
577,bulk,email,sale out,320174.0,96.0,False,False,True,False,False,False
585,bulk,email,sale out,58309.0,128.0,False,False,True,False,False,False
591,bulk,email,sale out,1.0,84.0,False,False,True,False,False,False
594,bulk,email,sale out,93601.0,104.0,False,False,True,False,False,False
600,bulk,mobile_push,sale out,480945.0,108.0,False,False,True,False,False,False
601,bulk,email,sale out,1.0,128.0,False,False,True,False,False,False
602,bulk,email,sale out,92833.0,98.0,False,False,True,False,False,False
618,bulk,email,sale out,118565.0,131.0,False,False,True,False,False,False
620,bulk,mobile_push,sale out,301806.0,23.0,False,False,True,False,False,False
622,bulk,email,sale out,185976.0,104.0,False,False,True,False,False,False
634,bulk,email,sale out,96939.0,129.0,False,True,True,False,False,False
638,bulk,mobile_push,sale out,291721.0,24.0,False,False,True,False,False,False
655,bulk,email,sale out,1.0,124.0,False,True,True,False,False,False
657,bulk,email,sale out,91587.0,110.0,False,False,True,False,False,False
660,bulk,mobile_push,sale out,478913.0,26.0,False,False,True,False,False,False
673,bulk,email,event,6506.0,128.0,False,True,True,False,False,False
675,bulk,email,event,6496.0,160.0,False,False,True,False,False,False
676,bulk,email,sale out,374129.4632675439,91.0,False,False,True,False,False,False
679,bulk,mobile_push,sale out,487024.0,28.0,False,False,True,False,False,False
693,bulk,email,sale out,122752.0,126.0,False,False,True,False,False,True
702,bulk,mobile_push,sale out,568816.0,28.0,False,False,True,False,False,False
706,bulk,mobile_push,sale out,496535.0,25.0,False,False,True,False,False,True
708,bulk,mobile_push,event,1758.0,128.0,False,False,True,False,False,False
721,bulk,email,sale out,122868.0,124.0,False,False,True,False,False,False
722,bulk,email,sale out,374129.4632675439,107.0,False,False,True,False,False,False
730,bulk,mobile_push,sale out,279416.0,31.0,False,False,True,False,True,False
732,bulk,email,sale out,131583.0,92.0,False,False,True,False,False,False
734,bulk,email,sale out,5.0,92.0,False,False,True,False,False,False
735,bulk,email,sale out,5.0,92.0,False,False,True,False,False,False
742,bulk,email,sale out,115019.0,100.0,False,False,True,False,False,False
743,bulk,mobile_push,sale out,583313.0,18.0,False,False,True,False,False,False
752,bulk,mobile_push,sale out,300297.0,33.0,False,False,True,False,False,False
754,bulk,email,sale out,131529.0,116.0,False,False,True,False,False,False
763,bulk,email,sale out,16327.0,116.0,False,False,True,False,False,False
764,bulk,email,sale out,303852.0,116.0,False,False,True,False,False,False
766,bulk,email,sale out,127090.0,128.0,False,False,True,False,False,False
783,bulk,email,sale out,1194549.0,118.0,False,False,True,False,False,False
801,bulk,email,event,6472.0,128.0,False,True,True,False,False,False
803,bulk,email,event,6462.0,154.0,False,False,True,False,False,False
813,bulk,mobile_push,event,1824.0,128.0,False,False,True,False,False,False
817,bulk,email,sale out,261119.0,116.0,False,False,True,False,False,False
822,bulk,mobile_push,sale out,80552.0,29.0,False,False,True,False,False,False
833,bulk,email,sale out,169985.0,106.0,True,False,True,False,True,False
849,bulk,email,sale out,1139543.0,120.0,False,False,True,False,False,False
856,bulk,email,sale out,162718.0,101.0,False,False,True,False,False,False
862,bulk,email,event,6430.0,128.0,False,True,True,False,False,False
863,bulk,email,event,6421.0,154.0,False,False,True,False,False,False
868,bulk,email,sale out,333473.0,118.0,False,False,True,False,False,False
874,bulk,email,sale out,32445.0,108.0,False,False,True,False,True,False
907,bulk,email,sale out,221126.0,126.0,False,False,True,False,False,False
908,bulk,email,sale out,339354.0,102.0,False,False,True,False,False,False
926,bulk,mobile_push,event,1859.0,128.0,False,False,True,False,False,False
928,bulk,mobile_push,sale out,18831.0,28.0,False,False,True,False,True,False
938,bulk,email,sale out,307379.0,106.0,False,False,True,False,False,False
952,bulk,email,sale out,190390.0,126.0,False,False,True,False,True,False
965,bulk,email,sale out,184868.0,142.0,False,True,True,False,False,False
992,bulk,email,sale out,1151532.0,106.0,False,True,True,False,False,False
998,bulk,email,sale out,225308.0,144.0,False,False,True,False,False,False
1000,bulk,email,sale out,1.0,144.0,False,False,True,False,False,False
1001,bulk,email,sale out,46948.0,97.0,False,False,True,False,False,False
1010,bulk,email,sale out,2.0,97.0,False,False,True,False,False,False
1011,bulk,email,sale out,291141.0,114.0,False,False,True,False,False,False
1020,bulk,email,sale out,246708.0,90.0,False,False,True,False,False,False
1026,bulk,email,sale out,2.0,90.0,False,False,True,False,False,False
1030,bulk,mobile_push,event,1860.0,128.0,False,False,True,False,False,False
1048,bulk,email,sale out,299700.0,128.0,False,False,True,False,False,False
1072,bulk,email,sale out,291429.0,98.0,False,False,True,False,False,False
1080,bulk,email,sale out,46958.0,143.0,False,False,True,False,False,False
1099,bulk,email,sale out,307452.0,126.0,True,False,True,False,True,False
1102,bulk,email,sale out,1.0,126.0,True,False,True,False,True,False
1107,bulk,email,sale out,210109.0,112.0,False,False,True,False,False,False
1139,bulk,mobile_push,event,1886.0,128.0,False,False,True,False,False,False
1140,bulk,email,sale out,301947.0,82.0,False,False,True,False,False,False
1148,bulk,email,sale out,56029.0,114.0,False,False,True,False,False,False
1151,bulk,email,sale out,1.0,114.0,False,False,True,False,False,False
1167,bulk,mobile_push,event,1846.0,128.0,False,False,True,False,False,False
1170,bulk,email,sale out,1.0,114.0,False,False,True,False,False,False
1204,bulk,email,sale out,1109457.0,110.0,False,False,True,False,False,False
1205,bulk,email,sale out,211190.0,98.0,True,False,True,False,True,False
1212,bulk,email,sale out,130386.0,114.0,False,False,True,False,False,True
1226,bulk,mobile_push,event,1884.0,128.0,False,False,True,False,False,False
1227,bulk,mobile_push,sale out,47593.0,90.0,True,False,True,False,True,False
1240,bulk,email,sale out,302724.0,124.0,True,False,True,False,True,False
1247,bulk,mobile_push,sale out,89124.0,28.0,False,False,True,False,False,True
1255,bulk,email,sale out,2.0,124.0,True,False,True,False,True,False
1256,bulk,mobile_push,sale out,181314.0,100.0,False,False,True,False,False,False
1294,bulk,email,sale out,310123.0,118.0,False,False,True,False,False,False
1296,bulk,email,sale out,3.0,118.0,False,False,True,False,False,False
1303,bulk,email,sale out,5.0,110.0,False,False,True,False,False,False
1306,bulk,mobile_push,sale out,162863.0,100.0,False,False,True,False,False,True
1318,bulk,email,sale out,18491.0,114.0,False,False,True,False,False,False
1319,bulk,email,sale out,374129.4632675439,114.0,False,False,True,False,False,False
1330,bulk,email,sale out,309902.0,126.0,True,False,True,False,True,False
1331,bulk,email,sale out,5.0,126.0,True,False,True,False,True,False
1336,bulk,mobile_push,sale out,155075.0,100.0,False,False,True,False,False,False
1358,bulk,email,sale out,831162.0,110.0,False,False,True,False,False,False
1361,bulk,mobile_push,offer after purchase,493.0,92.0,False,False,True,False,False,False
1362,bulk,mobile_push,offer after purchase,480.0,92.0,False,False,True,False,False,False
1372,bulk,mobile_push,offer after purchase,437.0,92.0,False,False,True,False,False,False
1376,bulk,mobile_push,sale out,153282.0,98.0,False,False,True,False,False,False
1378,bulk,email,sale out,534724.0,100.0,False,False,True,False,False,False
1382,bulk,mobile_push,offer after purchase,405.0,92.0,False,False,True,False,False,False
1391,bulk,email,sale out,49011.0,108.0,False,False,True,False,False,False
1408,bulk,mobile_push,offer after purchase,358.0,92.0,False,False,True,False,False,False
1409,bulk,email,sale out,619897.0,114.0,False,False,True,False,False,False
1410,bulk,mobile_push,sale out,74717.0,17.0,False,False,True,False,False,False
1411,bulk,email,sale out,5.0,114.0,False,False,True,False,False,False
1423,bulk,mobile_push,offer after purchase,399.0,92.0,False,False,True,False,False,False
1425,bulk,mobile_push,sale out,146693.0,100.0,False,False,True,False,False,False
1455,bulk,mobile_push,offer after purchase,219.0,92.0,False,False,True,False,False,False
1457,bulk,email,sale out,331902.0,98.0,False,False,True,False,False,False
1458,bulk,mobile_push,sale out,177858.0,98.0,False,False,True,False,False,True
1460,bulk,mobile_push,offer after purchase,383.0,92.0,False,False,True,False,False,False
1468,bulk,email,sale out,1430852.0,123.0,False,False,True,False,False,True
1469,bulk,email,sale out,374129.4632675439,123.0,False,False,True,False,False,True
1476,bulk,mobile_push,sale out,70955.0,28.0,False,False,True,False,False,False
1477,bulk,email,sale out,450977.0,98.0,False,False,True,False,False,True
1484,bulk,mobile_push,offer after purchase,390.0,92.0,False,False,True,False,False,False
1487,bulk,mobile_push,offer after purchase,456.0,92.0,False,False,True,False,False,False
1488,bulk,mobile_push,sale out,207606.0,96.0,False,False,True,False,False,True
1508,bulk,email,sale out,921103.0,112.0,False,False,True,False,False,False
1513,bulk,email,sale out,5.0,112.0,False,False,True,False,False,False
1516,bulk,email,sale out,5.0,112.0,False,False,True,False,False,False
1522,bulk,mobile_push,offer after purchase,507.0,92.0,False,False,True,False,False,False
1523,bulk,mobile_push,sale out,147826.0,104.0,False,False,True,False,False,True
1525,bulk,email,sale out,139989.0,140.0,False,False,True,False,False,True
1530,bulk,email,sale out,4.0,140.0,False,False,True,False,False,True
